ingredient,fdc_id,description,data_type,calories,protein_g,fat_g,carbs_g,search_term,match_quality
Chicken breast,171515,"Chicken breast tenders, breaded, uncooked",sr_legacy_food,263.0,14.73,15.75,15.01,chicken breast,exact
Chicken thigh,2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",survey_fndds_food,231.0,23.12,14.62,0.0,chicken thigh,exact
Chicken drumstick,2706002,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",survey_fndds_food,190.0,23.21,10.09,0.0,chicken drumstick,exact
Chicken wing,2706057,"Chicken wing, baked, broiled, or roasted, from raw",survey_fndds_food,252.0,23.6,16.74,0.0,chicken wing,exact
Chicken liver,360612,"SANDERSON FARMS, FRESH CHICKEN LIVERS",branded_food,116.0,16.96,4.46,0.89,chicken liver,exact
Chicken gizzard,2719261,"Tyson All Natural* Fresh Chicken Gizzards & Hearts, 1.3 lb. (Avg Weight)",branded_food,69.0,13.93,0.91,0.0,chicken gizzard,exact
Chicken feet,2706085,Chicken feet,survey_fndds_food,215.0,19.4,14.6,0.2,chicken feet,exact
Ground chicken,2417777,96% LEAN 4% FAT FRESH GROUND CHICKEN,branded_food,107.0,21.43,3.12,0.0,ground chicken,exact
Turkey breast,808662,3% Fresh Young Bone-In Turkey Breast 3-8 lbs.,branded_food,161.0,20.54,8.04,0.0,turkey breast,exact
Turkey thigh,2649714,"Turkey Thighs, Bone-in, 3 Count Tray, Fresh, 1.5 - 2.0 lb.",branded_food,195.0,17.0,8.0,0.0,turkey thigh,exact
Duck breast,1275060,BONELESS DUCK BREAST,branded_food,179.0,15.18,13.39,0.0,duck breast,exact
Duck leg,1854577,ALL NATURAL DUCK LEGS,branded_food,295.0,14.29,25.89,0.0,duck leg,exact
Duck liver,2565690,"ALEXIAN DUCK LIVER AND PORK MOUSSE WITH COGNAC, 5 OZ",branded_food,464.0,8.93,44.64,3.57,duck liver,exact
